order_id,date_commande,pays,ville,canal_vente,segment_client,categorie_produit,produit,quantite,prix_unitaire_fcfa,remise_pourcentage,chiffre_affaires_fcfa,cout_fcfa,profit_fcfa,methode_paiement,campagne_marketing,satisfaction_client
CMD-100050,2023-01-26,Tchad,N'Djamena,Instagram,Particulier,Informatique,Clé USB 64GB,11,8933,10,88437,64102,24335,Virement bancaire,Fête de fin d'année,4.7
CMD-100051,2026-01-07,RCA,Berbérati,Instagram,PME,Électroménager,Ventilateur Binatone,3,30336,15,77357,48187,29170,Espèces,Fête de fin d'année,4.5
CMD-100052,2025-02-15,Guinée équatoriale,Malabo,Instagram,PME,Téléphones,iPhone 13,15,526604,5,7504107,5281836,2222271,Carte bancaire,Promo WhatsApp,3.7
CMD-100053,2026-02-12,Cameroun,Garoua,WhatsApp Business,Particulier,Informatique,Imprimante Canon,5,134409,15,571239,449924,121315,Carte bancaire,Soldes Ramadan,3.0
CMD-100054,2023-02-05,RDC,Matadi,WhatsApp Business,PME,Alimentation,Huile 5L,12,9680,15,98736,67389,31347,Carte bancaire,Fête de fin d'année,3.2
CMD-100055,2025-07-18,RCA,Berbérati,Facebook,Particulier,Mode,Chemise homme,7,20684,10,130310,83308,47002,Mobile Money,Soldes Ramadan,3.5
CMD-100056,2026-04-22,Cameroun,Garoua,Site web,Grande entreprise,Téléphones,Tecno Spark 20,4,81098,5,308173,192501,115672,Espèces,Promo rentrée,5.0
CMD-100057,2023-09-17,Guinée équatoriale,Malabo,Boutique physique,Grande entreprise,Informatique,Dell Latitude,6,396841,0,2381046,1764747,616299,Espèces,Soldes Ramadan,3.5
CMD-100058,2024-01-13,Cameroun,Bafoussam,Facebook,PME,Téléphones,Samsung Galaxy A15,10,92253,5,876404,586249,290155,Mobile Money,Campagne Facebook Ads,4.9
CMD-100059,2026-02-26,Congo,Nkayi,Boutique physique,Particulier,Mode,Chaussures Nike,10,58154,0,581540,343670,237870,Mobile Money,Aucune campagne,4.9
CMD-100060,2024-08-31,Guinée équatoriale,Bata,Instagram,PME,Alimentation,Huile 5L,13,9791,5,120919,96166,24753,Mobile Money,Aucune campagne,4.7
CMD-100061,2026-02-04,RCA,Bangui,Boutique physique,PME,Électroménager,Mixeur Moulinex,5,37278,0,186390,114585,71805,Virement bancaire,Soldes Ramadan,3.2
CMD-100062,2025-07-18,Tchad,Moundou,WhatsApp Business,PME,Informatique,HP EliteBook,4,369369,0,1477476,1093046,384430,Carte bancaire,Promo WhatsApp,3.1
CMD-100063,2024-09-21,Congo,Brazzaville,Site web,PME,Électroménager,Télévision Hisense 43,14,215178,0,3012492,1791827,1220665,Virement bancaire,Promo rentrée,4.2
CMD-100064,2023-03-23,RDC,Goma,Revendeur,PME,Mode,Chemise homme,9,18629,5,159278,91062,68216,Espèces,Promo rentrée,4.8
CMD-100065,2023-12-25,Congo,Brazzaville,Revendeur,PME,Alimentation,Riz 25kg,13,25633,0,333229,235121,98108,Espèces,Black Friday,3.9
CMD-100066,2023-08-03,Tchad,Moundou,Facebook,PME,Mode,Chaussures Nike,8,54284,0,434272,276494,157778,Virement bancaire,Fête de fin d'année,4.7
CMD-100067,2025-04-07,RCA,Berbérati,Boutique physique,Grande entreprise,Alimentation,Riz 25kg,8,22128,0,177024,112814,64210,Virement bancaire,Promo WhatsApp,4.7
CMD-100068,2023-04-16,Congo,Brazzaville,Site web,Particulier,Alimentation,Boisson gazeuse,10,3811,15,32394,21682,10712,Espèces,Promo WhatsApp,3.4
CMD-100069,2024-09-28,RCA,Berbérati,Site web,PME,Téléphones,Samsung Galaxy A15,11,99960,0,1099560,815479,284081,Mobile Money,Black Friday,4.1
CMD-100070,2024-08-20,Guinée équatoriale,Malabo,Facebook,PME,Mode,Chaussures Nike,11,60941,5,636834,510623,126211,Virement bancaire,Promo WhatsApp,4.0
CMD-100071,2023-10-07,Cameroun,Bafoussam,Facebook,PME,Alimentation,Huile 5L,7,9002,10,56713,38974,17739,Espèces,Campagne Facebook Ads,4.7
CMD-100072,2025-09-29,Tchad,Moundou,Instagram,Grande entreprise,Téléphones,iPhone 13,12,506812,10,5473570,3867511,1606059,Virement bancaire,Fête de fin d'année,4.7
CMD-100073,2024-05-04,Gabon,Franceville,WhatsApp Business,PME,Alimentation,Lait en poudre,8,7365,0,58920,48008,10912,Mobile Money,Fête de fin d'année,4.1
CMD-100074,2025-10-11,RCA,Berbérati,WhatsApp Business,Grande entreprise,Mode,Montre connectée,11,52708,15,492820,401560,91260,Espèces,Campagne Facebook Ads,4.9
CMD-100075,2023-11-13,Congo,Nkayi,Facebook,PME,Téléphones,Redmi Note 13,1,151285,5,143721,112842,30879,Virement bancaire,Soldes Ramadan,3.1
CMD-100076,2023-03-15,Congo,Dolisie,WhatsApp Business,Grande entreprise,Alimentation,Lait en poudre,6,6868,5,39148,30752,8396,Espèces,Black Friday,4.2
CMD-100077,2024-09-05,RCA,Bangui,Boutique physique,PME,Mode,Chaussures Nike,13,58214,0,756782,506887,249895,Mobile Money,Fête de fin d'année,4.8
CMD-100078,2024-01-04,Gabon,Port-Gentil,Boutique physique,Grande entreprise,Mode,Sac à main,4,33049,10,118977,87339,31638,Virement bancaire,Aucune campagne,3.3
CMD-100079,2023-01-20,RCA,Bangui,Instagram,PME,Mode,Sac à main,4,32489,0,129956,87601,42355,Carte bancaire,Promo rentrée,4.8
CMD-100080,2024-09-10,RDC,Goma,Instagram,PME,Alimentation,Boisson gazeuse,11,3991,15,37316,23043,14273,Mobile Money,Black Friday,3.4
CMD-100081,2023-01-17,RDC,Goma,Revendeur,Grande entreprise,Alimentation,Boisson gazeuse,12,3408,15,34762,22834,11928,Mobile Money,Aucune campagne,4.1
CMD-100082,2024-05-28,RCA,Berbérati,Revendeur,Grande entreprise,Informatique,Dell Latitude,10,462202,0,4622020,3336575,1285445,Carte bancaire,Soldes Ramadan,4.4
CMD-100083,2024-08-27,Congo,Pointe-Noire,Instagram,Particulier,Informatique,Clé USB 64GB,1,9404,15,7994,4680,3314,Carte bancaire,Black Friday,3.7
CMD-100084,2024-08-27,Guinée équatoriale,Bata,Facebook,Particulier,Alimentation,Boisson gazeuse,14,3293,5,43797,35527,8270,Virement bancaire,Promo rentrée,4.5
CMD-100085,2023-09-11,Cameroun,Yaoundé,Revendeur,Grande entreprise,Mode,Chemise homme,2,19758,0,39516,24555,14961,Espèces,Aucune campagne,3.9
CMD-100086,2024-03-29,RDC,Goma,Revendeur,PME,Téléphones,Tecno Spark 20,8,77031,10,554624,354161,200463,Espèces,Soldes Ramadan,4.3
CMD-100087,2024-04-25,RDC,Kinshasa,WhatsApp Business,PME,Électroménager,Réfrigérateur LG,1,409958,5,389461,226414,163047,Virement bancaire,Fête de fin d'année,4.8
CMD-100088,2025-04-15,RCA,Berbérati,Facebook,Particulier,Alimentation,Huile 5L,15,9535,0,143025,110858,32167,Espèces,Black Friday,4.9
CMD-100089,2025-01-04,RDC,Matadi,Facebook,Particulier,Électroménager,Télévision Hisense 43,2,263403,0,526806,367186,159620,Mobile Money,Campagne Facebook Ads,3.1
CMD-100090,2024-11-14,Guinée équatoriale,Bata,WhatsApp Business,Grande entreprise,Téléphones,Tecno Spark 20,11,90089,0,990979,558571,432408,Carte bancaire,Promo rentrée,3.5
CMD-100091,2023-01-06,Guinée équatoriale,Malabo,WhatsApp Business,Particulier,Alimentation,Huile 5L,14,10615,0,148610,112806,35804,Espèces,Campagne Facebook Ads,3.6
CMD-100092,2023-02-02,Cameroun,Douala,Boutique physique,Particulier,Téléphones,Tecno Spark 20,1,84112,0,84112,59634,24478,Virement bancaire,Aucune campagne,3.3
CMD-100093,2025-10-28,Congo,Pointe-Noire,Site web,Particulier,Mode,Montre connectée,13,47544,10,556265,322324,233941,Espèces,Promo WhatsApp,3.4
CMD-100094,2025-06-27,RCA,Bangui,Boutique physique,PME,Téléphones,Redmi Note 13,14,140056,15,1666667,965249,701418,Carte bancaire,Promo rentrée,3.1
CMD-100095,2025-11-01,Cameroun,Garoua,Boutique physique,Grande entreprise,Alimentation,Boisson gazeuse,7,4020,10,25326,15945,9381,Mobile Money,Campagne Facebook Ads,4.2
CMD-100096,2025-03-27,RCA,Bangui,Boutique physique,PME,Mode,Montre connectée,15,45941,0,689115,532963,156152,Virement bancaire,Fête de fin d'année,3.8
CMD-100097,2023-06-24,RCA,Berbérati,Boutique physique,Grande entreprise,Informatique,Dell Latitude,11,474913,0,5224043,3001895,2222148,Espèces,Campagne Facebook Ads,3.2
CMD-100098,2025-05-16,Cameroun,Douala,Revendeur,Particulier,Alimentation,Boisson gazeuse,11,3256,0,35816,28146,7670,Espèces,Aucune campagne,4.7
CMD-100099,2024-12-18,Gabon,Port-Gentil,Facebook,Particulier,Téléphones,Tecno Spark 20,3,90455,0,271365,211329,60036,Espèces,Aucune campagne,4.7
CMD-100100,2024-01-05,Cameroun,Bafoussam,Facebook,PME,Alimentation,Riz 25kg,10,27174,15,230979,143717,87262,Espèces,Promo rentrée,3.5
CMD-100101,2023-07-07,Cameroun,Yaoundé,WhatsApp Business,PME,Alimentation,Lait en poudre,2,6080,15,10336,8396,1940,Virement bancaire,Promo WhatsApp,4.5
CMD-100102,2023-04-18,Gabon,Libreville,Site web,Particulier,Informatique,Imprimante Canon,12,117731,10,1271495,904008,367487,Mobile Money,Fête de fin d'année,3.3
CMD-100103,2025-05-30,RDC,Matadi,Revendeur,Grande entreprise,Mode,Montre connectée,7,46478,10,292812,170044,122768,Virement bancaire,Aucune campagne,3.2
CMD-100104,2024-09-09,RCA,Berbérati,WhatsApp Business,PME,Téléphones,Tecno Spark 20,7,97419,0,681933,376478,305455,Espèces,Fête de fin d'année,4.9
CMD-100105,2025-10-21,Congo,Pointe-Noire,Revendeur,PME,Mode,Montre connectée,3,44750,10,120825,89409,31416,Mobile Money,Promo WhatsApp,4.1
CMD-100106,2026-03-20,Guinée équatoriale,Malabo,Revendeur,PME,Mode,Chaussures Nike,8,62165,0,497320,350836,146484,Espèces,Promo rentrée,3.8
CMD-100107,2025-01-11,RDC,Kinshasa,Boutique physique,Particulier,Informatique,Dell Latitude,13,477499,5,5897113,4568180,1328933,Virement bancaire,Aucune campagne,3.2
CMD-100108,2023-06-06,RDC,Kinshasa,Boutique physique,Grande entreprise,Mode,Chemise homme,12,17727,0,212724,161747,50977,Carte bancaire,Campagne Facebook Ads,4.0
CMD-100109,2023-11-10,Gabon,Port-Gentil,Revendeur,Particulier,Électroménager,Mixeur Moulinex,2,32781,0,65562,39130,26432,Carte bancaire,Campagne Facebook Ads,4.5
CMD-100110,2024-10-23,RCA,Berbérati,Revendeur,PME,Mode,Montre connectée,11,54289,10,537462,388911,148551,Carte bancaire,Promo WhatsApp,4.7
CMD-100111,2023-06-01,Congo,Nkayi,Instagram,Particulier,Mode,Chemise homme,13,17436,0,226668,146206,80462,Mobile Money,Fête de fin d'année,3.6
CMD-100112,2026-02-09,Guinée équatoriale,Bata,Revendeur,Particulier,Téléphones,Samsung Galaxy A15,10,99609,5,946286,638678,307608,Virement bancaire,Campagne Facebook Ads,4.9
CMD-100113,2025-07-11,Tchad,Sarh,Facebook,Grande entreprise,Électroménager,Télévision Hisense 43,10,234348,0,2343480,1894902,448578,Mobile Money,Aucune campagne,3.2
CMD-100114,2023-11-22,RCA,Bangui,Facebook,PME,Téléphones,Tecno Spark 20,12,85802,5,978143,676384,301759,Virement bancaire,Campagne Facebook Ads,3.7
CMD-100115,2023-07-13,Gabon,Franceville,Instagram,PME,Alimentation,Riz 25kg,13,25385,0,330005,187375,142630,Espèces,Soldes Ramadan,4.1
CMD-100116,2025-03-13,Guinée équatoriale,Malabo,Revendeur,Particulier,Informatique,HP EliteBook,10,405043,0,4050430,2567010,1483420,Espèces,Aucune campagne,3.3
CMD-100117,2025-01-12,RDC,Goma,WhatsApp Business,PME,Électroménager,Réfrigérateur LG,11,448397,10,4439131,2875196,1563935,Virement bancaire,Black Friday,3.6
CMD-100118,2026-01-10,Cameroun,Yaoundé,Site web,Particulier,Électroménager,Réfrigérateur LG,5,466664,0,2333320,1603168,730152,Espèces,Campagne Facebook Ads,4.7
CMD-100119,2023-12-06,Tchad,N'Djamena,Boutique physique,PME,Alimentation,Lait en poudre,3,6113,15,15589,11819,3770,Espèces,Soldes Ramadan,4.4
CMD-100120,2024-05-04,RCA,Bangui,Instagram,Particulier,Mode,Chemise homme,13,19568,5,241665,148184,93481,Espèces,Soldes Ramadan,3.6
CMD-100121,2023-11-28,Tchad,Moundou,Site web,Particulier,Mode,Chemise homme,13,17918,10,209641,139000,70641,Espèces,Promo rentrée,4.6
CMD-100122,2023-11-25,RCA,Berbérati,Site web,Particulier,Informatique,HP EliteBook,12,422359,0,5068308,3177661,1890647,Virement bancaire,Promo rentrée,3.5
CMD-100123,2025-03-01,Cameroun,Bafoussam,Facebook,Particulier,Informatique,HP EliteBook,7,347059,10,2186472,1423326,763146,Mobile Money,Fête de fin d'année,5.0
CMD-100124,2023-10-12,Congo,Dolisie,Instagram,PME,Électroménager,Mixeur Moulinex,1,34010,5,32310,23842,8468,Mobile Money,Promo rentrée,4.5
CMD-100125,2023-08-16,Congo,Dolisie,WhatsApp Business,PME,Électroménager,Mixeur Moulinex,9,39726,10,321781,222832,98949,Mobile Money,Promo rentrée,4.6
CMD-100126,2023-02-03,Cameroun,Bafoussam,Site web,Particulier,Alimentation,Lait en poudre,2,6030,5,11457,8147,3310,Carte bancaire,Fête de fin d'année,4.3
CMD-100127,2023-06-25,RDC,Kinshasa,Facebook,Particulier,Alimentation,Boisson gazeuse,4,3649,0,14596,10646,3950,Mobile Money,Promo WhatsApp,4.0
CMD-100128,2023-05-19,Guinée équatoriale,Bata,Revendeur,Grande entreprise,Téléphones,Redmi Note 13,6,134877,0,809262,523119,286143,Mobile Money,Campagne Facebook Ads,3.7
CMD-100129,2023-12-25,Tchad,Sarh,Revendeur,PME,Informatique,Dell Latitude,1,414991,0,414991,319396,95595,Virement bancaire,Soldes Ramadan,4.7
CMD-100130,2023-03-27,Cameroun,Yaoundé,Facebook,Grande entreprise,Téléphones,Redmi Note 13,1,136270,0,136270,104055,32215,Virement bancaire,Campagne Facebook Ads,3.6
CMD-100131,2023-04-08,Tchad,Moundou,Facebook,PME,Informatique,HP EliteBook,13,403455,0,5244915,3390224,1854691,Mobile Money,Campagne Facebook Ads,4.7
CMD-100132,2025-10-13,Gabon,Port-Gentil,Facebook,Grande entreprise,Mode,Montre connectée,15,54677,0,820155,666708,153447,Espèces,Campagne Facebook Ads,4.4
CMD-100133,2024-10-19,Congo,Nkayi,Facebook,Grande entreprise,Téléphones,Redmi Note 13,10,160828,0,1608280,1121418,486862,Espèces,Fête de fin d'année,3.2
CMD-100134,2024-12-23,RDC,Matadi,Instagram,PME,Électroménager,Ventilateur Binatone,6,28329,15,144478,113402,31076,Mobile Money,Promo rentrée,4.2
CMD-100135,2025-06-16,RCA,Berbérati,Boutique physique,Particulier,Informatique,Dell Latitude,1,392991,10,353692,259285,94407,Espèces,Fête de fin d'année,3.1
CMD-100136,2023-06-07,RDC,Kinshasa,Site web,PME,Alimentation,Huile 5L,11,9618,0,105798,68815,36983,Virement bancaire,Fête de fin d'année,4.1
CMD-100137,2026-02-24,RCA,Berbérati,Facebook,Grande entreprise,Électroménager,Réfrigérateur LG,1,455245,5,432483,298322,134161,Virement bancaire,Black Friday,3.2
CMD-100138,2025-06-30,Tchad,Moundou,Revendeur,PME,Mode,Sac à main,2,29885,0,59770,40168,19602,Espèces,Soldes Ramadan,5.0
CMD-100139,2025-01-10,Congo,Dolisie,Boutique physique,Particulier,Informatique,Dell Latitude,12,452504,15,4615541,3333246,1282295,Carte bancaire,Black Friday,4.0
CMD-100140,2026-02-03,Guinée équatoriale,Bata,Boutique physique,Particulier,Téléphones,iPhone 13,9,542396,5,4637486,3556899,1080587,Espèces,Promo WhatsApp,3.3
CMD-100141,2024-10-11,RCA,Berbérati,Instagram,PME,Alimentation,Lait en poudre,13,6515,10,76226,43442,32784,Espèces,Black Friday,4.3
CMD-100142,2025-11-27,Guinée équatoriale,Malabo,WhatsApp Business,Particulier,Électroménager,Ventilateur Binatone,9,31574,0,284166,220079,64087,Espèces,Soldes Ramadan,3.3
CMD-100143,2026-02-02,Cameroun,Garoua,Revendeur,PME,Alimentation,Boisson gazeuse,14,3219,0,45066,32513,12553,Mobile Money,Aucune campagne,3.5
CMD-100144,2024-11-22,RCA,Bangui,Site web,Particulier,Alimentation,Huile 5L,3,10114,15,25791,20466,5325,Mobile Money,Promo rentrée,4.7
CMD-100145,2026-01-22,Congo,Dolisie,Facebook,PME,Électroménager,Ventilateur Binatone,10,29672,5,281884,222696,59188,Carte bancaire,Campagne Facebook Ads,3.6
CMD-100146,2025-09-18,Guinée équatoriale,Bata,Facebook,Grande entreprise,Informatique,Clé USB 64GB,2,9649,0,19298,12904,6394,Carte bancaire,Fête de fin d'année,3.9
CMD-100147,2024-10-15,Guinée équatoriale,Bata,Boutique physique,PME,Informatique,Clé USB 64GB,3,9811,10,26490,18586,7904,Virement bancaire,Black Friday,3.5
CMD-100148,2023-11-24,Cameroun,Douala,Site web,Grande entreprise,Téléphones,iPhone 13,7,580341,5,3859268,2381295,1477973,Espèces,Black Friday,4.6
CMD-100149,2025-03-16,Guinée équatoriale,Malabo,WhatsApp Business,Particulier,Mode,Montre connectée,8,53748,5,408485,227222,181263,Espèces,Promo rentrée,4.0
CMD-100150,2024-06-25,Congo,Dolisie,Instagram,PME,Mode,Montre connectée,5,49640,0,248200,165388,82812,Mobile Money,Promo WhatsApp,4.5
CMD-100151,2024-07-26,Congo,Brazzaville,Site web,Grande entreprise,Informatique,Imprimante Canon,2,119590,5,227221,171867,55354,Mobile Money,Black Friday,4.7
CMD-100152,2025-11-08,Congo,Nkayi,Boutique physique,Particulier,Informatique,Imprimante Canon,9,136168,0,1225512,739897,485615,Mobile Money,Black Friday,3.8
CMD-100153,2024-10-14,RCA,Berbérati,Site web,Grande entreprise,Mode,Montre connectée,3,50475,10,136283,80099,56184,Espèces,Aucune campagne,3.3
CMD-100154,2025-01-24,Gabon,Franceville,Boutique physique,PME,Alimentation,Lait en poudre,12,6764,5,77110,59394,17716,Espèces,Campagne Facebook Ads,3.7
CMD-100155,2023-04-16,RCA,Bangui,WhatsApp Business,Grande entreprise,Alimentation,Lait en poudre,5,7421,10,33395,23575,9820,Virement bancaire,Black Friday,4.2
CMD-100156,2025-04-25,Guinée équatoriale,Malabo,Instagram,Grande entreprise,Téléphones,Samsung Galaxy A15,4,85949,0,343796,227961,115835,Virement bancaire,Campagne Facebook Ads,4.4
CMD-100157,2025-02-10,Guinée équatoriale,Malabo,WhatsApp Business,PME,Électroménager,Mixeur Moulinex,9,34344,15,262732,178437,84295,Espèces,Aucune campagne,3.6
